"plot","site","alt","long_garmin","lat_garmin","x_garmin","y_garmin","z_garmin","x_trimble","y_trimble","z_trimble","x_diff","y_diff","date","inclin_down","inclin_dir","X","x","y","z","long","lat","location"
"P165",1,100,-51.803548,64.23422,461026.8439,7123360.491,100.373077,NA,NA,NA,NA,NA,"2011-07-18",8,0,NA,461026.8439,7123360.491,100.373077,-51.8035479999467,64.234220001883,"<Point><coordinates>-51.8035479999467,64.234220001883,100.373077</coordinates></Point>"
"P166",1,100,-51.803626,64.234159,461022.9751,7123353.741,100.37944,NA,NA,NA,NA,NA,"2011-07-18",23,325,NA,461022.9751,7123353.741,100.37944,-51.8036259994968,64.2341589966583,"<Point><coordinates>-51.8036259994968,64.2341589966583,100.37944</coordinates></Point>"
"P167",1,100,-51.803681,64.234065,461020.1753,7123343.301,101.434021,NA,NA,NA,NA,NA,"2011-07-18",20,330,NA,461020.1753,7123343.301,101.434021,-51.8036809997775,64.2340650027595,"<Point><coordinates>-51.8036809997775,64.2340650027595,101.434021</coordinates></Point>"
"P168",1,100,-51.803785,64.23399,461015.0257,7123335.007,99.866257,NA,NA,NA,NA,NA,"2011-07-18",18,330,NA,461015.0257,7123335.007,99.866257,-51.8037850006076,64.233989998184,"<Point><coordinates>-51.8037850006076,64.233989998184,99.866257</coordinates></Point>"
"P169",1,100,-51.811971,64.239292,460625.5477,7123930.848,99.967522,NA,NA,NA,NA,NA,"2011-07-18",5,140,NA,460625.5477,7123930.848,99.967522,-51.8119709999633,64.2392920009928,"<Point><coordinates>-51.8119709999633,64.2392920009928,99.967522</coordinates></Point>"
"P170",1,100,-51.812181,64.239274,460615.3391,7123928.972,98.139847,NA,NA,NA,NA,NA,"2011-07-18",22,172,NA,460615.3391,7123928.972,98.139847,-51.8121809999918,64.239273998642,"<Point><coordinates>-51.8121809999918,64.239273998642,98.139847</coordinates></Point>"
"P171",1,100,-51.812394,64.239262,460604.9936,7123927.767,98.115891,NA,NA,NA,NA,NA,"2011-07-18",23,218,NA,460604.9936,7123927.767,98.115891,-51.8123939992083,64.2392620010667,"<Point><coordinates>-51.8123939992083,64.2392620010667,98.115891</coordinates></Point>"
"P172",1,100,-51.812536,64.239267,460598.115,7123928.412,97.491211,NA,NA,NA,NA,NA,"2011-07-18",35,210,NA,460598.115,7123928.412,97.491211,-51.8125360006317,64.2392670002576,"<Point><coordinates>-51.8125360006317,64.2392670002576,97.491211</coordinates></Point>"
"P173",1,100,-51.812723,64.239328,460589.1342,7123935.325,98.134628,NA,NA,NA,NA,NA,"2011-07-18",38,246,NA,460589.1342,7123935.325,98.134628,-51.8127229990675,64.2393279999795,"<Point><coordinates>-51.8127229990675,64.2393279999795,98.134628</coordinates></Point>"
"P174",1,100,-51.81283,64.239389,460584.0325,7123942.188,98.499397,NA,NA,NA,NA,NA,"2011-07-18",32,255,NA,460584.0325,7123942.188,98.499397,-51.8128300006723,64.2393889955821,"<Point><coordinates>-51.8128300006723,64.2393889955821,98.499397</coordinates></Point>"
"P175",1,100,-51.80911,64.243582,460770.359,7124407.113,99.597855,NA,NA,NA,NA,NA,"2011-07-18",28,110,NA,460770.359,7124407.113,99.597855,-51.8091100007029,64.2435819993153,"<Point><coordinates>-51.8091100007029,64.2435819993153,99.597855</coordinates></Point>"
